# pmt_id easting_cm northing_cm
785 3425.50 -11517.27
786 3828.50 -11517.27
787 4231.50 -11517.27
788 4634.50 -11517.27
789 5037.50 -11517.27
790 5440.50 -11517.27
791 5843.50 -11517.27
792 6246.50 -11517.27
793 6649.50 -11517.27
794 7052.50 -11517.27
795 7455.50 -11517.27
796 7858.50 -11517.27
797 8261.50 -11517.27
798 8664.50 -11517.27
799 9067.50 -11517.27
800 9470.50 -11517.27
801 9873.50 -11517.27
802 10276.50 -11517.27
803 10679.50 -11517.27
804 11082.50 -11517.27
805 -27404.00 -11168.26
806 -25792.00 -11168.26
807 -24180.00 -11168.26
808 -22568.00 -11168.26
809 -20956.00 -11168.26
810 -19344.00 -11168.26
811 -17732.00 -11168.26
812 -16120.00 -11168.26
813 -14508.00 -11168.26
814 -12896.00 -11168.26
815 -11284.00 -11168.26
816 -10881.00 -11168.26
817 -10478.00 -11168.26
818 -10075.00 -11168.26
819 -9672.00 -11168.26
820 -9269.00 -11168.26
821 -8866.00 -11168.26
822 -8463.00 -11168.26
823 -8060.00 -11168.26
824 -7657.00 -11168.26
825 -7254.00 -11168.26
826 -6851.00 -11168.26
827 -6448.00 -11168.26
828 -6045.00 -11168.26
829 -5642.00 -11168.26
830 -5239.00 -11168.26
831 -4836.00 -11168.26
832 -4433.00 -11168.26
833 -4030.00 -11168.26
834 -3627.00 -11168.26
835 -3224.00 -11168.26
836 -2821.00 -11168.26
837 -2418.00 -11168.26
838 -2015.00 -11168.26
839 -1612.00 -11168.26
840 -1209.00 -11168.26
841 -806.00 -11168.26
842 -403.00 -11168.26
843 0.00 -11168.26
844 403.00 -11168.26
845 806.00 -11168.26
846 1209.00 -11168.26
847 1612.00 -11168.26
848 2015.00 -11168.26
849 2418.00 -11168.26
850 2821.00 -11168.26
851 3224.00 -11168.26
852 3627.00 -11168.26
853 4030.00 -11168.26
854 4433.00 -11168.26
855 4836.00 -11168.26
856 5239.00 -11168.26
857 5642.00 -11168.26
858 6045.00 -11168.26
859 6448.00 -11168.26
860 6851.00 -11168.26
861 7254.00 -11168.26
862 7657.00 -11168.26
863 8060.00 -11168.26
864 8463.00 -11168.26
865 8866.00 -11168.26
866 9269.00 -11168.26
867 9672.00 -11168.26
868 10075.00 -11168.26
869 10478.00 -11168.26
870 10881.00 -11168.26
871 11284.00 -11168.26
872 12896.00 -11168.26
873 14508.00 -11168.26
874 16120.00 -11168.26
875 17732.00 -11168.26
876 19344.00 -11168.26
877 20956.00 -11168.26
878 22568.00 -11168.26
879 24180.00 -11168.26
880 25792.00 -11168.26
881 27404.00 -11168.26
882 -11485.50 -10819.26
883 -11082.50 -10819.26
884 -10679.50 -10819.26
885 -10276.50 -10819.26
886 -9873.50 -10819.26
887 -9470.50 -10819.26
888 -9067.50 -10819.26
889 -8664.50 -10819.26
890 -8261.50 -10819.26
891 -7858.50 -10819.26
892 -7455.50 -10819.26
893 -7052.50 -10819.26
894 -6649.50 -10819.26
895 -6246.50 -10819.26
896 -5843.50 -10819.26
897 -5440.50 -10819.26
898 -5037.50 -10819.26
899 -4634.50 -10819.26
900 -4231.50 -10819.26
901 -3828.50 -10819.26
902 -3425.50 -10819.26
903 -3022.50 -10819.26
904 -2619.50 -10819.26
905 -2216.50 -10819.26
906 -1813.50 -10819.26
907 -1410.50 -10819.26
908 -1007.50 -10819.26
909 -604.50 -10819.26
910 -201.50 -10819.26
911 201.50 -10819.26
912 604.50 -10819.26
913 1007.50 -10819.26
914 1410.50 -10819.26
915 1813.50 -10819.26
916 2216.50 -10819.26
917 2619.50 -10819.26
918 3022.50 -10819.26
919 3425.50 -10819.26
920 3828.50 -10819.26
921 4231.50 -10819.26
922 4634.50 -10819.26
923 5037.50 -10819.26
924 5440.50 -10819.26
925 5843.50 -10819.26
926 6246.50 -10819.26
927 6649.50 -10819.26
928 7052.50 -10819.26
929 7455.50 -10819.26
930 7858.50 -10819.26
